service_id,date,exception_type
aaCHW13-CW1207Wk-Sunday-11,20140901,1
aaCHW14-CHW14-Weekday-09,20141013,2
aaCHW14-CHW14-Weekday-09-0000100,20141013,2
aaCHW14-CHW14-Weekday-09,20141111,2
aaCHW14-CHW14-Weekday-09-0000100,20141111,2
aaCHW14-CHW14-Weekday-09,20141225,2
aaCHW14-CHW14-Weekday-09-0000100,20141225,2
aaCHW14-CHW14-Weekday-09,20141226,2
aaCHW14-CHW14-Weekday-09-0000100,20141226,2
aaCHW14-CHW14-Weekday-09,20150209,2
aaCHW14-CHW14-Weekday-09-0000100,20150209,2
aaCHW14-CW1409Su-Sunday-11,20141013,1
aaCHW14-CW1409Su-Sunday-11,20141111,1
aaCHW14-CW1409Su-Sunday-11,20141225,1
aaCHW14-CW1409Su-Sunday-11,20141226,1
aaCHW14-CW1409Su-Sunday-11,20150209,1
abCX1407-CX1407-Weekday-03,20141225,2
abCX1407-CX1407-Weekday-03,20141226,2
abCX1407-CX1407-Weekday-03,20150101,2
abCX1501-CX1501-Weekday-08,20150209,2
abCX1501-CX1501-Weekday-08,20150403,2
abCX1501-CX1501-Weekday-08,20150518,2
abCX1501-CX1501-Weekday-08,20150701,2
abCX1501-CX1501-Weekday-08,20150803,2
abCX1501-CX1501-Weekday-08,20150907,2
abCX1501-CX1501-Weekday-08,20151012,2
abCX1501-CX1501-Weekday-08,20151111,2
abCX1501-CX1501-Weekday-08,20151225,2
acKA1409-KASEP14-Sunday-02,20150405,2
acKA1409-KASEP14-Sunday-02,20140901,1
acKA1409-KASEP14-Sunday-02,20141013,1
acKA1409-KASEP14-Sunday-02,20141111,1
acKA1409-KASEP14-Sunday-02,20141226,1
acKA1409-KASEP14-Sunday-02,20150209,1
acKA1409-KA1409-Weekday-07,20141013,2
acKA1409-KA1409-Weekday-07,20141111,2
acKA1409-KA1409-Weekday-07,20141225,2
acKA1409-KA1409-Weekday-07,20141226,2
acKA1409-KA1409-Weekday-07,20150101,2
acKA1409-KA1409-Weekday-07,20150209,2
acKA1409-KA1409-Weekday-07,20150403,2
adKL1409-KL1409WK-Weekday-18,20141225,2
