stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_short_name
100001,Northbound Government at Belleville (#100001),48.420336,-123.368822,0,,Northbound Government at Belleville
100002,Southbound Government at Belleville (#100002),48.4197360004,-123.368999,0,,Southbound Government at Belleville
100003,Legislature Terminus Bay D (#100003),48.4191409996,-123.368942001,0,,Legislature Terminus Bay D
100004,Westbound Superior at Government (#100004),48.4182920001,-123.369349,0,,Westbound Superior at Government
100005,Westbound Belleville at Douglas (#100005),48.4204889998,-123.367333001,0,,Westbound Belleville at Douglas
100006,Legislature Terminus Bay E (#100006),48.418266,-123.368052001,0,,Legislature Terminus Bay E
100007,Eastbound Superior at Menzies (#100007),48.4180119999,-123.371875,0,,Eastbound Superior at Menzies
100008,Westbound Superior at Menzies (#100008),48.4182610001,-123.372801,0,,Westbound Superior at Menzies
100009,Southbound Patrica Bay at Haliburton (#100009),48.5139500002,-123.384455,0,,Southbound Patrica Bay at Haliburton
100010,Northbound Douglas at Belleville (#100010),48.4209920003,-123.366113,0,,Northbound Douglas at Belleville
100011,Southbound Menzies at Superior (#100011),48.4178420001,-123.372634999,0,,Southbound Menzies at Superior
100012,Northbound Douglas at Elliot Street (#100012),48.4192229998,-123.365871001,0,,Northbound Douglas at Elliot Street
100013,Northbound Menzies at Michigan (#100013),48.4171680002,-123.372808,0,,Northbound Menzies at Michigan
100015,Southbound Humboldt at Penwell (#100015),48.4215514641,-123.365417986,0,,Southbound Humboldt at Penwell
100016,Eastbound Sooke at Townsend (#100016),48.3783699996,-123.722045,0,,Eastbound Sooke at Townsend
100017,Eastbound Burdett at Douglas (#100017),48.4220439996,-123.365448,0,,Eastbound Burdett at Douglas
100018,Eastbound 5250 block Sooke (#100018),48.389028,-123.642837,0,,Eastbound 5250 block Sooke
100019,Southbound Douglas at Courtney (#100019),48.4227290002,-123.365951,0,,Southbound Douglas at Courtney
100020,Northbound Douglas at Courtney (#100020),48.4227029999,-123.365765999,0,,Northbound Douglas at Courtney
100021,Eastbound Superior at Oswego (#100021),48.419392,-123.376034001,0,,Eastbound Superior at Oswego
100022,Southbound Menzies at Michigan (#100022),48.4166049999,-123.373333,0,,Southbound Menzies at Michigan
100023,Southbound Oswego at Superior (#100023),48.4192979997,-123.376726,0,,Southbound Oswego at Superior
100024,Blanshard Terminus Bay B (#100024),48.4212220003,-123.363362,0,,Blanshard Terminus Bay B
100025,Blanshard Terminus Bay A (#100025),48.421881,-123.36407,0,,Blanshard Terminus Bay A
100026,Northbound Government at Broughton (#100026),48.4240590002,-123.367950001,0,,Northbound Government at Broughton
100027,Westbound Toronto at Huntington (#100027),48.415903,-123.366887,0,,Westbound Toronto at Huntington
100028,Eastbound Fort at Langley (#100028),48.4249479995,-123.368904999,0,,Eastbound Fort at Langley
100029,Legislature Terminus Bay C (#100029),48.4189680002,-123.368940999,0,,Legislature Terminus Bay C
100030,Northbound Oswego at Michigan (#100030),48.4187389996,-123.377113,0,,Northbound Oswego at Michigan
100031,Northbound Menzies at Simcoe (#100031),48.4155509997,-123.373694,0,,Northbound Menzies at Simcoe
100032,Northbound Douglas at Fort (#100032),48.4243659997,-123.365305,0,,Northbound Douglas at Fort
100033,Eastbound Fort at Douglas (#100033),48.424495,-123.36457,0,,Eastbound Fort at Douglas
100034,Southbound Douglas at Fort (#100034),48.4249569998,-123.365339,0,,Southbound Douglas at Fort
100035,Westbound Fairfield at Quadra (#100035),48.4202059996,-123.36074,0,,Westbound Fairfield at Quadra
100036,Southbound Menzies at Simcoe (#100036),48.4149610004,-123.374471,0,,Southbound Menzies at Simcoe
