shape_id,route_id,service_id,block_id,trip_id,trip_sequence,trip_type,trip_headsign,direction_id,pattern_id,pattern_count,direction_code,pattern_code,pattern_rank,hierarchy
19-5-16,5-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342313,ch1972410,1,0,Yarrow/Mall,0,19-5-16,87,0,100,16,1
19-5-16,5-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342314,ch1972411,1,0,Yarrow/Mall,0,19-5-16,87,0,100,16,1
19-5-16,5-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342315,ch1972412,1,0,Yarrow/Mall,0,19-5-16,87,0,100,16,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972477,1,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972479,2,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972509,3,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972418,4,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972447,5,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972421,6,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972450,7,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972513,8,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972426,9,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972455,10,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972429,11,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972458,12,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972517,13,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972434,14,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972463,15,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972437,16,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972466,17,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972520,18,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972442,19,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972471,20,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972507,21,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972483,22,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972474,23,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342316,ch1972562,24,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972444,1,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972510,2,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972420,3,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972449,4,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972423,5,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972452,6,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972514,7,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972428,8,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972457,9,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972431,10,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972460,11,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972518,12,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972436,13,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972465,14,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972439,15,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972468,16,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972521,17,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972416,18,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972473,19,0,Downtown,0,19-1-105,6822,0,100,1,1
19-3-28,3-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972561,20,0,Chilliwack - To Downtown,1,19-3-28,3710,0,100,3,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972482,21,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972472,22,0,Downtown,0,19-1-105,6822,0,100,1,1
19-1-104,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972484,23,0,UFV,1,19-1-104,6793,1,200,2,1
19-1-105,1-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342317,ch1972481,24,0,Downtown,0,19-1-105,6822,0,100,1,1
19-2-69,2-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972542,1,0,Mall,1,19-2-69,2843,1,200,5,1
19-4-20,4-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972529,2,0,Teskey/Sylvan,1,19-4-20,2824,0,100,6,1
19-4-19,4-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972553,3,0,Mall,0,19-4-19,2690,1,200,7,1
19-2-68,2-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972550,4,0,Downtown,0,19-2-68,2948,0,100,4,1
19-2-69,2-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972535,5,0,Mall,1,19-2-69,2843,1,200,5,1
19-4-20,4-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972528,6,0,Teskey/Sylvan,1,19-4-20,2824,0,100,6,1
19-4-19,4-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972555,7,0,Mall,0,19-4-19,2690,1,200,7,1
19-2-68,2-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972546,8,0,Downtown,0,19-2-68,2948,0,100,4,1
19-2-69,2-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972537,9,0,Mall,1,19-2-69,2843,1,200,5,1
19-4-20,4-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972526,10,0,Teskey/Sylvan,1,19-4-20,2824,0,100,6,1
19-4-19,4-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972557,11,0,Mall,0,19-4-19,2690,1,200,7,1
19-2-68,2-Chilliwack,aaCHW13-CW1207Sa-Saturday-06,342318,ch1972522,12,0,Downtown,0,19-2-68,2948,0,100,4,1
